mortgage,year,month,day
5.85,2003,1,3
5.95,2003,1,10
5.97,2003,1,17
5.91,2003,1,24
5.9,2003,1,31
5.88,2003,2,7
5.86,2003,2,14
5.84,2003,2,21
5.79,2003,2,28
5.67,2003,3,7
5.61,2003,3,14
5.79,2003,3,21
5.91,2003,3,28
5.79,2003,4,4
5.85,2003,4,11
5.82,2003,4,18
5.79,2003,4,25
5.7,2003,5,2
5.62,2003,5,9
5.45,2003,5,16
5.34,2003,5,23
5.31,2003,5,30
5.26,2003,6,6
5.21,2003,6,13
5.21,2003,6,20
5.24,2003,6,27
5.4,2003,7,4
5.52,2003,7,11
5.67,2003,7,18
5.94,2003,7,25
6.14,2003,8,1
6.34,2003,8,8
6.24,2003,8,15
6.28,2003,8,22
6.32,2003,8,29
6.44,2003,9,5
6.16,2003,9,12
6.01,2003,9,19
5.98,2003,9,26
5.77,2003,10,3
5.95,2003,10,10
6.05,2003,10,17
6.05,2003,10,24
5.94,2003,10,31
5.98,2003,11,7
6.03,2003,11,14
5.83,2003,11,21
5.89,2003,11,28
6.02,2003,12,5
5.88,2003,12,12
5.82,2003,12,19
5.81,2003,12,26
5.85,2003,12,31
5.87,2004,1,8
5.66,2004,1,15
5.64,2004,1,22
5.68,2004,1,29
5.72,2004,2,5
5.66,2004,2,12
5.58,2004,2,19
5.58,2004,2,26
5.59,2004,3,4
5.41,2004,3,11
5.38,2004,3,18
5.4,2004,3,25
5.52,2004,4,1
5.79,2004,4,8
5.89,2004,4,15
5.94,2004,4,22
6.01,2004,4,29
6.12,2004,5,6
6.34,2004,5,13
6.3,2004,5,20
6.32,2004,5,27
6.28,2004,6,3
6.3,2004,6,10
6.32,2004,6,17
6.25,2004,6,24
6.21,2004,7,1
6.01,2004,7,8
6.0,2004,7,15
5.98,2004,7,22
6.08,2004,7,29
5.99,2004,8,5
5.85,2004,8,12
5.81,2004,8,19
5.82,2004,8,26
5.77,2004,9,2
5.83,2004,9,9
5.75,2004,9,16
5.7,2004,9,23
5.72,2004,9,30
5.82,2004,10,7
5.74,2004,10,14
5.69,2004,10,21
5.64,2004,10,28
5.7,2004,11,4
5.76,2004,11,11
5.74,2004,11,18
5.72,2004,11,24
5.81,2004,12,2
5.71,2004,12,9
5.68,2004,12,16
5.75,2004,12,22
5.81,2004,12,29
5.77,2005,1,6
5.74,2005,1,13
5.67,2005,1,20
5.66,2005,1,27
5.63,2005,2,3
5.57,2005,2,10
5.62,2005,2,17
5.69,2005,2,24
5.79,2005,3,3
5.85,2005,3,10
5.95,2005,3,17
6.01,2005,3,24
6.04,2005,3,31
5.93,2005,4,7
5.91,2005,4,14
5.8,2005,4,21
5.78,2005,4,28
5.75,2005,5,5
5.77,2005,5,12
5.71,2005,5,19
5.65,2005,5,26
5.62,2005,6,2
5.56,2005,6,9
5.63,2005,6,16
5.57,2005,6,23
5.53,2005,6,30
5.62,2005,7,7
5.66,2005,7,14
5.73,2005,7,21
5.77,2005,7,28
5.82,2005,8,4
5.89,2005,8,11
5.8,2005,8,18
5.77,2005,8,25
5.71,2005,9,1
5.71,2005,9,8
5.74,2005,9,15
5.8,2005,9,22
5.91,2005,9,29
5.98,2005,10,6
6.03,2005,10,13
6.1,2005,10,20
6.15,2005,10,27
6.31,2005,11,3
6.36,2005,11,10
6.37,2005,11,17
6.28,2005,11,23
6.26,2005,12,1
6.32,2005,12,8
6.3,2005,12,15
6.26,2005,12,22
6.22,2005,12,29
6.21,2006,1,5
6.15,2006,1,12
6.1,2006,1,19
6.12,2006,1,26
6.23,2006,2,2
6.24,2006,2,9
6.28,2006,2,16
6.26,2006,2,23
6.24,2006,3,2
6.37,2006,3,9
6.34,2006,3,16
6.32,2006,3,23
6.35,2006,3,30
6.43,2006,4,6
6.49,2006,4,13
6.53,2006,4,20
6.58,2006,4,27
6.59,2006,5,4
6.58,2006,5,11
6.6,2006,5,18
6.62,2006,5,25
6.67,2006,6,1
6.62,2006,6,8
6.63,2006,6,15
6.71,2006,6,22
6.78,2006,6,29
6.79,2006,7,6
6.74,2006,7,13
6.8,2006,7,20
6.72,2006,7,27
6.63,2006,8,3
6.55,2006,8,10
6.52,2006,8,17
6.48,2006,8,24
6.44,2006,8,31
6.47,2006,9,7
6.43,2006,9,14
6.4,2006,9,21
6.31,2006,9,28
6.3,2006,10,5
6.37,2006,10,12
6.36,2006,10,19
6.4,2006,10,26
6.31,2006,11,2
6.33,2006,11,9
6.24,2006,11,16
6.18,2006,11,22
6.14,2006,11,30
6.11,2006,12,7
6.12,2006,12,14
6.13,2006,12,21
6.18,2006,12,28
6.18,2007,1,4
6.21,2007,1,11
6.23,2007,1,18
6.25,2007,1,25
6.34,2007,2,1
6.28,2007,2,8
6.3,2007,2,15
6.22,2007,2,22
6.18,2007,3,1
6.14,2007,3,8
6.14,2007,3,15
6.16,2007,3,22
6.16,2007,3,29
6.17,2007,4,5
6.22,2007,4,12
6.17,2007,4,19
6.16,2007,4,26
6.16,2007,5,3
6.15,2007,5,10
6.21,2007,5,17
6.37,2007,5,24
6.42,2007,5,31
6.53,2007,6,7
6.74,2007,6,14
6.69,2007,6,21
6.67,2007,6,28
6.63,2007,7,5
6.73,2007,7,12
6.73,2007,7,19
6.69,2007,7,26
6.68,2007,8,2
6.59,2007,8,9
6.62,2007,8,16
6.52,2007,8,23
6.45,2007,8,30
6.46,2007,9,6
6.31,2007,9,13
6.34,2007,9,20
6.42,2007,9,27
6.37,2007,10,4
6.4,2007,10,11
6.4,2007,10,18
6.33,2007,10,25
6.26,2007,11,1
6.24,2007,11,8
6.24,2007,11,15
6.2,2007,11,21
6.1,2007,11,29
5.96,2007,12,6
6.11,2007,12,13
6.14,2007,12,20
6.17,2007,12,27
6.07,2008,1,3
5.87,2008,1,10
5.69,2008,1,17
5.48,2008,1,24
5.68,2008,1,31
5.67,2008,2,7
5.72,2008,2,14
6.04,2008,2,21
6.24,2008,2,28
6.03,2008,3,6
6.13,2008,3,13
5.87,2008,3,20
5.85,2008,3,27
5.88,2008,4,3
5.88,2008,4,10
5.88,2008,4,17
6.03,2008,4,24
6.06,2008,5,1
6.05,2008,5,8
6.01,2008,5,15
5.98,2008,5,22
6.08,2008,5,29
6.09,2008,6,5
6.32,2008,6,12
6.42,2008,6,19
6.45,2008,6,26
6.35,2008,7,3
6.37,2008,7,10
6.26,2008,7,17
6.63,2008,7,24
6.52,2008,7,31
6.52,2008,8,7
6.52,2008,8,14
6.47,2008,8,21
6.4,2008,8,28
6.35,2008,9,4
5.93,2008,9,11
5.78,2008,9,18
6.09,2008,9,25
6.1,2008,10,2
5.94,2008,10,9
6.46,2008,10,16
6.04,2008,10,23
6.46,2008,10,30
6.2,2008,11,6
6.14,2008,11,13
6.04,2008,11,20
5.97,2008,11,26
5.53,2008,12,4
5.47,2008,12,11
5.19,2008,12,18
5.14,2008,12,24
5.1,2008,12,31
5.01,2009,1,8
4.96,2009,1,15
5.12,2009,1,22
5.1,2009,1,29
5.25,2009,2,5
5.16,2009,2,12
5.04,2009,2,19
5.07,2009,2,26
5.15,2009,3,5
5.03,2009,3,12
4.98,2009,3,19
4.85,2009,3,26
4.78,2009,4,2
4.87,2009,4,9
4.82,2009,4,16
4.8,2009,4,23
4.78,2009,4,30
4.84,2009,5,7
4.86,2009,5,14
4.82,2009,5,21
4.91,2009,5,28
5.29,2009,6,4
5.59,2009,6,11
5.38,2009,6,18
5.42,2009,6,25
5.32,2009,7,2
5.2,2009,7,9
5.14,2009,7,16
5.2,2009,7,23
5.25,2009,7,30
5.22,2009,8,6
5.29,2009,8,13
5.12,2009,8,20
5.14,2009,8,27
5.08,2009,9,3
5.07,2009,9,10
5.04,2009,9,17
5.04,2009,9,24
4.94,2009,10,1
4.87,2009,10,8
4.92,2009,10,15
5.0,2009,10,22
5.03,2009,10,29
4.98,2009,11,5
4.91,2009,11,12
4.83,2009,11,19
4.78,2009,11,25
4.71,2009,12,3
4.81,2009,12,10
4.94,2009,12,17
5.05,2009,12,24
5.14,2009,12,31
5.09,2010,1,7
5.06,2010,1,14
4.99,2010,1,21
4.98,2010,1,28
5.01,2010,2,4
4.97,2010,2,11
4.93,2010,2,18
5.05,2010,2,25
4.97,2010,3,4
4.95,2010,3,11
4.96,2010,3,18
4.99,2010,3,25
5.08,2010,4,1
5.21,2010,4,8
5.07,2010,4,15
5.07,2010,4,22
5.06,2010,4,29
5.0,2010,5,6
4.93,2010,5,13
4.84,2010,5,20
4.78,2010,5,27
4.79,2010,6,3
4.72,2010,6,10
4.75,2010,6,17
4.69,2010,6,24
4.58,2010,7,1
4.57,2010,7,8
4.57,2010,7,15
4.56,2010,7,22
4.54,2010,7,29
4.49,2010,8,5
4.44,2010,8,12
4.42,2010,8,19
4.36,2010,8,26
4.32,2010,9,2
4.35,2010,9,9
4.37,2010,9,16
4.37,2010,9,23
4.32,2010,9,30
4.27,2010,10,7
4.19,2010,10,14
4.21,2010,10,21
4.23,2010,10,28
4.24,2010,11,4
4.17,2010,11,11
4.39,2010,11,18
4.4,2010,11,24
4.46,2010,12,2
4.61,2010,12,9
4.83,2010,12,16
4.81,2010,12,23
4.86,2010,12,30
4.77,2011,1,6
4.71,2011,1,13
4.74,2011,1,20
4.8,2011,1,27
4.81,2011,2,3
5.05,2011,2,10
5.0,2011,2,17
4.95,2011,2,24
4.87,2011,3,3
4.88,2011,3,10
4.76,2011,3,17
4.81,2011,3,24
4.86,2011,3,31
4.87,2011,4,7
4.91,2011,4,14
4.8,2011,4,21
4.78,2011,4,28
4.71,2011,5,5
4.63,2011,5,12
4.61,2011,5,19
4.6,2011,5,26
4.55,2011,6,2
4.49,2011,6,9
4.5,2011,6,16
4.5,2011,6,23
4.51,2011,6,30
4.6,2011,7,7
4.51,2011,7,14
4.52,2011,7,21
4.55,2011,7,28
4.39,2011,8,4
4.32,2011,8,11
4.15,2011,8,18
4.22,2011,8,25
4.22,2011,9,1
4.12,2011,9,8
4.09,2011,9,15
4.09,2011,9,22
4.01,2011,9,29
3.94,2011,10,6
4.12,2011,10,13
4.11,2011,10,20
4.1,2011,10,27
4.0,2011,11,3
3.99,2011,11,10
4.0,2011,11,17
3.98,2011,11,23
4.0,2011,12,1
3.99,2011,12,8
3.94,2011,12,15
3.91,2011,12,22
3.95,2011,12,29
3.91,2012,1,5
3.89,2012,1,12
3.88,2012,1,19
3.98,2012,1,26
3.87,2012,2,2
3.87,2012,2,9
3.87,2012,2,16
3.95,2012,2,23
3.9,2012,3,1
3.88,2012,3,8
3.92,2012,3,15
4.08,2012,3,22
3.99,2012,3,29
3.98,2012,4,5
3.88,2012,4,12
3.9,2012,4,19
3.88,2012,4,26
3.84,2012,5,3
3.83,2012,5,10
3.79,2012,5,17
3.78,2012,5,24
3.75,2012,5,31
3.67,2012,6,7
3.71,2012,6,14
3.66,2012,6,21
3.66,2012,6,28
3.62,2012,7,5
3.56,2012,7,12
3.53,2012,7,19
3.49,2012,7,26
3.55,2012,8,2
3.59,2012,8,9
3.62,2012,8,16
3.66,2012,8,23
3.59,2012,8,30
3.55,2012,9,6
3.55,2012,9,13
3.49,2012,9,20
3.4,2012,9,27
3.36,2012,10,4
3.39,2012,10,11
3.37,2012,10,18
3.41,2012,10,25
3.39,2012,11,1
3.4,2012,11,8
3.34,2012,11,15
3.31,2012,11,21
3.32,2012,11,29
3.34,2012,12,6
3.32,2012,12,13
3.37,2012,12,20
3.35,2012,12,27
3.34,2013,1,3
3.4,2013,1,10
3.38,2013,1,17
3.42,2013,1,24
3.53,2013,1,31
3.53,2013,2,7
3.53,2013,2,14
3.56,2013,2,21
3.51,2013,2,28
3.52,2013,3,7
3.63,2013,3,14
3.54,2013,3,21
3.57,2013,3,28
3.54,2013,4,4
3.43,2013,4,11
3.41,2013,4,18
3.4,2013,4,25
3.35,2013,5,2
3.42,2013,5,9
3.51,2013,5,16
3.59,2013,5,23
3.81,2013,5,30
3.91,2013,6,6
3.98,2013,6,13
3.93,2013,6,20
4.46,2013,6,27
4.29,2013,7,3
4.51,2013,7,11
4.37,2013,7,18
4.31,2013,7,25
4.39,2013,8,1
4.4,2013,8,8
4.4,2013,8,15
4.58,2013,8,22
4.51,2013,8,29
4.57,2013,9,5
4.57,2013,9,12
4.5,2013,9,19
4.32,2013,9,26
4.22,2013,10,3
4.23,2013,10,10
4.28,2013,10,17
4.13,2013,10,24
4.1,2013,10,31
4.16,2013,11,7
4.35,2013,11,14
4.22,2013,11,21
4.29,2013,11,27
4.46,2013,12,5
4.42,2013,12,12
4.47,2013,12,19
4.48,2013,12,26
4.53,2014,1,2
4.51,2014,1,9
4.41,2014,1,16
4.39,2014,1,23
4.32,2014,1,30
4.23,2014,2,6
4.28,2014,2,13
4.33,2014,2,20
4.37,2014,2,27
4.28,2014,3,6
4.37,2014,3,13
4.32,2014,3,20
4.4,2014,3,27
4.41,2014,4,3
4.34,2014,4,10
4.27,2014,4,17
4.33,2014,4,24
4.29,2014,5,1
4.21,2014,5,8
4.2,2014,5,15
4.14,2014,5,22
4.12,2014,5,29
4.14,2014,6,5
4.2,2014,6,12
4.17,2014,6,19
4.14,2014,6,26
4.12,2014,7,3
4.15,2014,7,10
4.13,2014,7,17
4.13,2014,7,24
4.12,2014,7,31
4.14,2014,8,7
4.12,2014,8,14
4.1,2014,8,21
4.1,2014,8,28
4.1,2014,9,4
4.12,2014,9,11
4.23,2014,9,18
4.2,2014,9,25
4.19,2014,10,2
4.12,2014,10,9
3.97,2014,10,16
3.92,2014,10,23
3.98,2014,10,30
4.02,2014,11,6
4.01,2014,11,13
3.99,2014,11,20
3.97,2014,11,26
3.89,2014,12,4
3.93,2014,12,11
3.8,2014,12,18
3.83,2014,12,24
3.87,2014,12,31
3.73,2015,1,8
3.66,2015,1,15
3.63,2015,1,22
3.66,2015,1,29
3.59,2015,2,5
3.69,2015,2,12
3.76,2015,2,19
3.8,2015,2,26
3.75,2015,3,5
3.86,2015,3,12
3.78,2015,3,19
3.69,2015,3,26
3.7,2015,4,2
3.66,2015,4,9
3.67,2015,4,16
3.65,2015,4,23
3.68,2015,4,30
3.8,2015,5,7
3.85,2015,5,14
3.84,2015,5,21
3.87,2015,5,28
3.87,2015,6,4
4.04,2015,6,11
4.0,2015,6,18
4.02,2015,6,25
4.08,2015,7,2
4.04,2015,7,9
4.09,2015,7,16
4.04,2015,7,23
3.98,2015,7,30
3.91,2015,8,6
3.94,2015,8,13
3.93,2015,8,20
3.84,2015,8,27
3.89,2015,9,3
3.9,2015,9,10
3.91,2015,9,17
3.86,2015,9,24
3.85,2015,10,1
3.76,2015,10,8
3.82,2015,10,15
3.79,2015,10,22
3.76,2015,10,29
3.87,2015,11,5
3.98,2015,11,12
3.97,2015,11,19
3.95,2015,11,25
3.93,2015,12,3
3.95,2015,12,10
3.97,2015,12,17
3.96,2015,12,24
4.01,2015,12,31
3.97,2016,1,7
3.92,2016,1,14
3.81,2016,1,21
3.79,2016,1,28
3.72,2016,2,4
3.65,2016,2,11
3.65,2016,2,18
3.62,2016,2,25
3.64,2016,3,3
3.68,2016,3,10
3.73,2016,3,17
3.71,2016,3,24
3.71,2016,3,31
3.59,2016,4,7
3.58,2016,4,14
3.59,2016,4,21
3.66,2016,4,28
3.61,2016,5,5
3.57,2016,5,12
3.58,2016,5,19
3.64,2016,5,26
3.66,2016,6,2
3.6,2016,6,9
3.54,2016,6,16
3.56,2016,6,23
3.48,2016,6,30
3.41,2016,7,7
3.42,2016,7,14
3.45,2016,7,21
3.48,2016,7,28
3.43,2016,8,4
3.45,2016,8,11
3.43,2016,8,18
3.43,2016,8,25
3.46,2016,9,1
3.44,2016,9,8
3.5,2016,9,15
3.48,2016,9,22
3.42,2016,9,29
3.42,2016,10,6
3.47,2016,10,13
3.52,2016,10,20
3.47,2016,10,27
3.54,2016,11,3
3.57,2016,11,10
3.94,2016,11,17
4.03,2016,11,23
4.08,2016,12,1
4.13,2016,12,8
4.16,2016,12,15
4.3,2016,12,22
4.32,2016,12,29
4.2,2017,1,5
4.12,2017,1,12
4.09,2017,1,19
4.19,2017,1,26
4.19,2017,2,2
4.17,2017,2,9
4.15,2017,2,16
4.16,2017,2,23
4.1,2017,3,2
4.21,2017,3,9
4.3,2017,3,16
4.23,2017,3,23
4.14,2017,3,30
4.1,2017,4,6
4.08,2017,4,13
3.97,2017,4,20
4.03,2017,4,27
4.02,2017,5,4
4.05,2017,5,11
4.02,2017,5,18
3.95,2017,5,25
3.94,2017,6,1
3.89,2017,6,8
3.91,2017,6,15
3.9,2017,6,22
3.88,2017,6,29
3.96,2017,7,6
4.03,2017,7,13
3.96,2017,7,20
3.92,2017,7,27
3.93,2017,8,3
3.9,2017,8,10
3.89,2017,8,17
3.86,2017,8,24
3.82,2017,8,31
3.78,2017,9,7
3.78,2017,9,14
3.83,2017,9,21
3.83,2017,9,28
3.85,2017,10,5
3.91,2017,10,12
3.88,2017,10,19
3.94,2017,10,26
3.94,2017,11,2
3.9,2017,11,9
3.95,2017,11,16
3.92,2017,11,22
3.9,2017,11,30
3.94,2017,12,7
3.93,2017,12,14
3.94,2017,12,21
3.99,2017,12,28
3.95,2018,1,4
3.99,2018,1,11
4.04,2018,1,18
4.15,2018,1,25
4.22,2018,2,1
4.32,2018,2,8
4.38,2018,2,15
4.4,2018,2,22
4.43,2018,3,1
4.46,2018,3,8
4.44,2018,3,15
4.45,2018,3,22
4.44,2018,3,29
4.4,2018,4,5
4.42,2018,4,12
4.47,2018,4,19
4.58,2018,4,26
4.55,2018,5,3
4.55,2018,5,10
4.61,2018,5,17
4.66,2018,5,24
4.56,2018,5,31
4.54,2018,6,7
4.62,2018,6,14
4.57,2018,6,21
4.55,2018,6,28
4.52,2018,7,5
4.53,2018,7,12
4.52,2018,7,19
4.54,2018,7,26
4.6,2018,8,2
4.59,2018,8,9
4.53,2018,8,16
4.51,2018,8,23
4.52,2018,8,30
4.54,2018,9,6
4.6,2018,9,13
4.65,2018,9,20
4.72,2018,9,27
4.71,2018,10,4
4.9,2018,10,11
4.85,2018,10,18
4.86,2018,10,25
4.83,2018,11,1
4.94,2018,11,8
4.94,2018,11,15
4.81,2018,11,21
4.81,2018,11,29
4.75,2018,12,6
4.63,2018,12,13
4.62,2018,12,20
4.55,2018,12,27
4.51,2019,1,3
4.45,2019,1,10
4.45,2019,1,17
4.45,2019,1,24
4.46,2019,1,31
4.41,2019,2,7
4.37,2019,2,14
4.35,2019,2,21
4.35,2019,2,28
4.41,2019,3,7
4.31,2019,3,14
4.28,2019,3,21
4.06,2019,3,28
4.08,2019,4,4
4.12,2019,4,11
4.17,2019,4,18
4.2,2019,4,25
4.14,2019,5,2
4.1,2019,5,9
4.07,2019,5,16
4.06,2019,5,23
3.99,2019,5,30
3.82,2019,6,6
3.82,2019,6,13
3.84,2019,6,20
3.73,2019,6,27
3.75,2019,7,3
3.75,2019,7,11
3.81,2019,7,18
3.75,2019,7,25
3.75,2019,8,1
3.6,2019,8,8
3.6,2019,8,15
3.55,2019,8,22
3.58,2019,8,29
3.49,2019,9,5
3.56,2019,9,12
3.73,2019,9,19
3.64,2019,9,26
3.65,2019,10,3
3.57,2019,10,10
3.69,2019,10,17
3.75,2019,10,24
3.78,2019,10,31
3.69,2019,11,7
3.75,2019,11,14
3.66,2019,11,21
3.68,2019,11,27
3.68,2019,12,5
3.73,2019,12,12
3.73,2019,12,19
3.74,2019,12,26
3.72,2020,1,2
3.64,2020,1,9
3.65,2020,1,16
3.6,2020,1,23
3.51,2020,1,30
3.45,2020,2,6
3.47,2020,2,13
3.49,2020,2,20
3.45,2020,2,27
3.29,2020,3,5
3.36,2020,3,12
3.65,2020,3,19
3.5,2020,3,26
3.33,2020,4,2
3.33,2020,4,9
3.31,2020,4,16
3.33,2020,4,23
3.23,2020,4,30
3.26,2020,5,7
3.28,2020,5,14
3.24,2020,5,21
3.15,2020,5,28
3.18,2020,6,4
3.21,2020,6,11
3.13,2020,6,18
3.13,2020,6,25
3.07,2020,7,2
3.03,2020,7,9
2.98,2020,7,16
3.01,2020,7,23
2.99,2020,7,30
2.88,2020,8,6
2.96,2020,8,13
2.99,2020,8,20
2.91,2020,8,27
2.93,2020,9,3
2.86,2020,9,10
2.87,2020,9,17
2.9,2020,9,24
2.88,2020,10,1
2.87,2020,10,8
2.81,2020,10,15
2.8,2020,10,22
2.81,2020,10,29
2.78,2020,11,5
2.84,2020,11,12
2.72,2020,11,19
2.72,2020,11,25
2.71,2020,12,3
2.71,2020,12,10
2.67,2020,12,17
2.66,2020,12,24
2.67,2020,12,31
2.65,2021,1,7
2.79,2021,1,14
2.77,2021,1,21
2.73,2021,1,28
2.73,2021,2,4
2.73,2021,2,11
2.81,2021,2,18
2.97,2021,2,25
3.02,2021,3,4
3.05,2021,3,11
3.09,2021,3,18
3.17,2021,3,25
3.18,2021,4,1
3.13,2021,4,8
3.04,2021,4,15
2.97,2021,4,22
2.98,2021,4,29
2.96,2021,5,6
2.94,2021,5,13
3.0,2021,5,20
2.95,2021,5,27
2.99,2021,6,3
2.96,2021,6,10
2.93,2021,6,17
3.02,2021,6,24
2.98,2021,7,1
2.9,2021,7,8
2.88,2021,7,15
2.78,2021,7,22
2.8,2021,7,29
2.77,2021,8,5
2.87,2021,8,12
2.86,2021,8,19
2.87,2021,8,26
2.87,2021,9,2
2.88,2021,9,9
2.86,2021,9,16
2.88,2021,9,23
3.01,2021,9,30
2.99,2021,10,7
3.05,2021,10,14
3.09,2021,10,21
3.14,2021,10,28
3.09,2021,11,4
2.98,2021,11,10
3.1,2021,11,18
3.1,2021,11,24
3.11,2021,12,2
3.1,2021,12,9
3.12,2021,12,16
3.05,2021,12,23
3.11,2021,12,30
3.22,2022,1,6
3.45,2022,1,13
3.56,2022,1,20
3.55,2022,1,27
3.55,2022,2,3
3.69,2022,2,10
3.92,2022,2,17
3.89,2022,2,24
3.76,2022,3,3
3.85,2022,3,10
4.16,2022,3,17
4.42,2022,3,24
4.67,2022,3,31
4.72,2022,4,7
5.0,2022,4,14
5.11,2022,4,21
5.1,2022,4,28
5.27,2022,5,5
5.3,2022,5,12
5.25,2022,5,19
5.1,2022,5,26
5.09,2022,6,2
5.23,2022,6,9
5.78,2022,6,16
5.81,2022,6,23
5.7,2022,6,30
5.3,2022,7,7
5.51,2022,7,14
5.54,2022,7,21
5.3,2022,7,28
4.99,2022,8,4
5.22,2022,8,11
5.13,2022,8,18
5.55,2022,8,25
5.66,2022,9,1
5.89,2022,9,8
6.02,2022,9,15
6.29,2022,9,22
6.7,2022,9,29
6.66,2022,10,6
6.92,2022,10,13
6.94,2022,10,20
7.08,2022,10,27
6.95,2022,11,3
7.08,2022,11,10
6.61,2022,11,17
6.58,2022,11,23
6.49,2022,12,1
6.33,2022,12,8
6.31,2022,12,15
6.27,2022,12,22
6.42,2022,12,29
